cds
[524] SCIENZE DELL'EDUCAZIONE
[541] SCIENZE DEL TURISMO E COMUNITA' LOCALE(C.SO A DISTANZA)
[581] GIURISPRUDENZA
[E0201Q] BIOTECNOLOGIE
[E1301Q] SCIENZE BIOLOGICHE
[E1401A] SCIENZE DEI SERVIZI GIURIDICI
[E1501N] SCIENZE DEL TURISMO E COMUNITÃ? LOCALE
[E1502N] SCIENZE DEL TURISMO E COMUNITÃ? LOCALE (NETTUNO)
[E1601N] SCIENZE DELL'ORGANIZZAZIONE
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI"
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI"
[E1901R] SCIENZE DELL'EDUCAZIONE
[E2001R] COMUNICAZIONE INTERCULTURALE
[E2003P] COMUNICAZIONE E PSICOLOGIA
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE
[E2401P] SCIENZE E TECNICHE PSICOLOGICHE
[E2701Q] SCIENZA DEI MATERIALI
[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE
[E3001Q] FISICA
[E3002Q] OTTICA E OPTOMETRIA
[E3101Q] INFORMATICA
[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE
[E3301M] ECONOMIA E COMMERCIO
[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE
[E3501Q] MATEMATICA
[E3901N] SERVIZIO SOCIALE
[E4001N] SOCIOLOGIA
[E4101B] SCIENZE STATISTICHE ED ECONOMICHE
[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI
[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE
[F0601Q] BIOLOGIA
[F0802Q] BIOTECNOLOGIE INDUSTRIALI
[F0901D] BIOTECNOLOGIE MEDICHE
[F1601M] ECONOMIA E FINANZA
[F1701Q] FISICA
[F1801Q] INFORMATICA
[F4001Q] MATEMATICA
"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE"
"[F5101P] PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA"
"[F5102P] PSICOLOGIA DEI PROCESSI SOCIALI, DECISIONALI E DEI COMPORTAMENTI ECONOMICI"
[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI
[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA
[F5301Q] SCIENZA DEI MATERIALI
[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE
[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE
[F5701R] FORMAZIONE E SVILUPPO DELLE RISORSE UMANE
[F5801Q] ASTROFISICA E FISICA DELLO SPAZIO
[F6302N] MANAGEMENT E DESIGN DEI SERVIZI
[F7401Q] SCIENZE E TECNOLOGIE GEOLOGICHE
[F7501Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO
[F7502Q] MARINE SCIENCES - SCIENZE MARINE
[F7601M] ECONOMIA DEL TURISMO
[F7701M] SCIENZE ECONOMICO-AZIENDALI
[F7702M] MARKETING E MERCATI GLOBALI
[F8202B] SCIENZE STATISTICHE ED ECONOMICHE
[F8203B] BIOSTATISTICA
[F8204B] SCIENZE STATISTICHE ED ECONOMICHE
[F8501R] SCIENZE PEDAGOGICHE
[F8701N] PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI
[F8801N] SOCIOLOGIA
[F9201P] TEORIA E TECNOLOGIA DELLA COMUNICAZIONE
[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA
[H4101D] MEDICINA E CHIRURGIA
[H4601D] ODONTOIATRIA E PROTESI DENTARIA
[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)
[I0102D] OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O)
[I0201D] FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA)
[I0202D] TERAPIA DELLA NEURO E PSICOMOTRICITÃ? DELL'ETÃ? EVOLUTIVA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TERAPISTA DELLA NEURO E PSICOMOTRICITÃ? DELL'ETÃ? EVOLUTIVA)
[I0301D] IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE)
[I0302D] TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO)
"[I0303D] TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA )"
[K0101D] SCIENZE INFERMIERISTICHE E OSTETRICHE
