"E2401P	[E2401P] SCIENZE E TECNICHE PSICOLOGICHE	2016	2016-11-07	19"
"E2401P	[E2401P] SCIENZE E TECNICHE PSICOLOGICHE	2016	2016-11-14	44"
"E4101B	[E4101B] SCIENZE STATISTICHE ED ECONOMICHE	2016	2016-11-14	40"
"E4102B	[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI	2016	2016-11-14	164"
"E4102B	[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI	2016	2016-11-15	1"
"F8203B	[F8203B] BIOSTATISTICA	2016	2016-11-15	2"
"F8204B	[F8204B] SCIENZE STATISTICHE ED ECONOMICHE	2016	2016-11-15	4"
"E2401P	[E2401P] SCIENZE E TECNICHE PSICOLOGICHE	2016	2016-11-16	45"
"F5103P	[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI	2016	2016-11-16	10"
"F8203B	[F8203B] BIOSTATISTICA	2016	2016-11-16	3"
"F8204B	[F8204B] SCIENZE STATISTICHE ED ECONOMICHE	2016	2016-11-16	1"
"E2004P	[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE	2016	2016-11-17	26"
"E2401P	[E2401P] SCIENZE E TECNICHE PSICOLOGICHE	2016	2016-11-17	36"
"E3002Q	[E3002Q] OTTICA E OPTOMETRIA	2016	2016-11-17	1"
"E4101B	[E4101B] SCIENZE STATISTICHE ED ECONOMICHE	2016	2016-11-17	30"
"F8204B	[F8204B] SCIENZE STATISTICHE ED ECONOMICHE	2016	2016-11-17	3"
"E4101B	[E4101B] SCIENZE STATISTICHE ED ECONOMICHE	2016	2016-11-18	41"
"E4102B	[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI	2016	2016-11-18	1"
"F0901D	[F0901D] BIOTECNOLOGIE MEDICHE	2016	2016-11-18	19"
"E4101B	[E4101B] SCIENZE STATISTICHE ED ECONOMICHE	2016	2016-11-21	2"
"E4102B	[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI	2016	2016-11-21	6"
"F8203B	[F8203B] BIOSTATISTICA	2016	2016-11-21	9"
"E2702Q	[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE	2016	2016-11-22	1"
"E3002Q	[E3002Q] OTTICA E OPTOMETRIA	2016	2016-11-22	1"
"F8204B	[F8204B] SCIENZE STATISTICHE ED ECONOMICHE	2016	2016-11-22	6"
"E2004P	[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE	2016	2016-11-23	35"
"E4101B	[E4101B] SCIENZE STATISTICHE ED ECONOMICHE	2016	2016-11-23	97"
"E4101B	[E4101B] SCIENZE STATISTICHE ED ECONOMICHE	2016	2016-11-24	15"
"F8204B	[F8204B] SCIENZE STATISTICHE ED ECONOMICHE	2016	2016-11-24	11"
"E2701Q	[E2701Q] SCIENZA DEI MATERIALI	2016	2016-11-25	7"
"F5301Q	[F5301Q] SCIENZA DEI MATERIALI	2016	2016-11-25	4"
"581	[581] GIURISPRUDENZA	2016	2016-11-28	300"
"E1401A	[E1401A] SCIENZE DEI SERVIZI GIURIDICI	2016	2016-11-28	12"
"E4001N	[E4001N] SOCIOLOGIA	2016	2016-11-28	4"
"F6302N	[F6302N] MANAGEMENT E DESIGN DEI SERVIZI	2016	2016-11-28	1"
"581	[581] GIURISPRUDENZA	2016	2016-11-29	47"
"E1401A	[E1401A] SCIENZE DEI SERVIZI GIURIDICI	2016	2016-11-29	5"
