AdCod,ad,CdS,tentativi
E1401A039,"[E1401A039] DIRITTO DELL'ESECUZIONE CIVILE","[E1401A] SCIENZE DEI SERVIZI GIURIDICI",2.0
I0302D003,"[I0302D003] ORGANI E FUNZIONI","[I0302D] TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO)",1.96428571428571
I0301D001,"[I0301D001] SCIENZE PROPEDEUTICHE","[I0301D] IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE)",1.8
